Employee Key;WWI Employee ID;Employee;Preferred Name;Is Salesperson;Photo;Valid From;Valid To;Lineage Key
0;0;Unknown;N/A;0;NULL;00:00.0;###############################################################################################################################################################################################################################################################;0
1;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
2;4;Isabella Rupp;Isabella;0;NULL;00:00.0;00:00.0;3
3;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
4;7;Amy Trefl;Amy;1;NULL;00:00.0;00:00.0;3
5;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
6;8;Anthony Grosse;Anthony;1;NULL;00:00.0;00:00.0;3
7;15;Taj Shand;Taj;1;NULL;00:00.0;00:00.0;3
8;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
9;20;Jack Potter;Jack;1;NULL;00:00.0;00:00.0;3
10;17;Piper Koch;Piper;0;NULL;00:00.0;00:00.0;3
11;3;Hudson Onslow;Hudson;1;NULL;00:00.0;00:00.0;3
12;6;Sophia Hinton;Sophia;1;NULL;00:00.0;00:00.0;3
13;12;Henry Forlonge;Henry;0;NULL;00:00.0;00:00.0;3
14;10;Stella Rosenhain;Stella;0;NULL;00:00.0;00:00.0;3
15;2;Kayla Woodcock;Kayla;1;NULL;00:00.0;00:00.0;3
16;18;Katie Darwin;Katie;0;NULL;00:00.0;00:00.0;3
17;9;Alica Fatnowna;Alica;0;NULL;00:00.0;00:00.0;3
18;5;Eva Muirden;Eva;0;NULL;00:00.0;13:00.0;3
19;16;Archer Lamble;Archer;1;NULL;00:00.0;13:00.0;3
20;4;Isabella Rupp;Isabella;0;NULL;00:00.0;00:00.0;3
21;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
22;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
23;7;Amy Trefl;Amy;1;NULL;00:00.0;00:00.0;3
24;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
25;8;Anthony Grosse;Anthony;1;NULL;00:00.0;00:00.0;3
26;15;Taj Shand;Taj;1;NULL;00:00.0;00:00.0;3
27;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
28;20;Jack Potter;Jack;1;NULL;00:00.0;00:00.0;3
29;15;Taj Shand;Taj;1;NULL;00:00.0;00:00.0;3
30;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
31;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
32;17;Piper Koch;Piper;0;NULL;00:00.0;00:00.0;3
33;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
34;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
35;7;Amy Trefl;Amy;1;NULL;00:00.0;00:00.0;3
36;15;Taj Shand;Taj;1;NULL;00:00.0;00:00.0;3
37;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
38;3;Hudson Onslow;Hudson;1;NULL;00:00.0;00:00.0;3
39;20;Jack Potter;Jack;1;NULL;00:00.0;00:00.0;3
40;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
41;6;Sophia Hinton;Sophia;1;NULL;00:00.0;00:00.0;3
42;12;Henry Forlonge;Henry;0;NULL;00:00.0;00:00.0;3
43;10;Stella Rosenhain;Stella;0;NULL;00:00.0;00:00.0;3
44;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
45;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
46;8;Anthony Grosse;Anthony;1;NULL;00:00.0;00:00.0;3
47;8;Anthony Grosse;Anthony;1;NULL;00:00.0;00:00.0;3
48;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
49;3;Hudson Onslow;Hudson;1;NULL;00:00.0;00:00.0;3
50;7;Amy Trefl;Amy;1;NULL;00:00.0;00:00.0;3
51;7;Amy Trefl;Amy;1;NULL;00:00.0;00:00.0;3
52;6;Sophia Hinton;Sophia;1;NULL;00:00.0;00:00.0;3
53;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
54;2;Kayla Woodcock;Kayla;1;NULL;00:00.0;00:00.0;3
55;4;Isabella Rupp;Isabella;0;NULL;00:00.0;00:00.0;3
56;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
57;8;Anthony Grosse;Anthony;1;NULL;00:00.0;00:00.0;3
58;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
59;17;Piper Koch;Piper;0;NULL;00:00.0;00:00.0;3
60;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
61;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
62;8;Anthony Grosse;Anthony;1;NULL;00:00.0;00:00.0;3
63;2;Kayla Woodcock;Kayla;1;NULL;00:00.0;00:00.0;3
64;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
65;7;Amy Trefl;Amy;1;NULL;00:00.0;00:00.0;3
66;10;Stella Rosenhain;Stella;0;NULL;00:00.0;00:00.0;3
67;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
68;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
69;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
70;6;Sophia Hinton;Sophia;1;NULL;00:00.0;00:00.0;3
71;12;Henry Forlonge;Henry;0;NULL;00:00.0;00:00.0;3
72;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
73;10;Stella Rosenhain;Stella;0;NULL;00:00.0;00:00.0;3
74;15;Taj Shand;Taj;1;NULL;00:00.0;00:00.0;3
75;17;Piper Koch;Piper;0;NULL;00:00.0;00:00.0;3
76;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
77;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
78;7;Amy Trefl;Amy;1;NULL;00:00.0;00:00.0;3
79;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
80;3;Hudson Onslow;Hudson;1;NULL;00:00.0;00:00.0;3
81;2;Kayla Woodcock;Kayla;1;NULL;00:00.0;00:00.0;3
82;18;Katie Darwin;Katie;0;NULL;00:00.0;00:00.0;3
83;7;Amy Trefl;Amy;1;NULL;00:00.0;00:00.0;3
84;8;Anthony Grosse;Anthony;1;NULL;00:00.0;00:00.0;3
85;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
86;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
87;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
88;4;Isabella Rupp;Isabella;0;NULL;00:00.0;00:00.0;3
89;6;Sophia Hinton;Sophia;1;NULL;00:00.0;00:00.0;3
90;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
91;3;Hudson Onslow;Hudson;1;NULL;00:00.0;00:00.0;3
92;9;Alica Fatnowna;Alica;0;NULL;00:00.0;00:00.0;3
93;6;Sophia Hinton;Sophia;1;NULL;00:00.0;00:00.0;3
94;8;Anthony Grosse;Anthony;1;NULL;00:00.0;00:00.0;3
95;8;Anthony Grosse;Anthony;1;NULL;00:00.0;00:00.0;3
96;15;Taj Shand;Taj;1;NULL;00:00.0;00:00.0;3
97;15;Taj Shand;Taj;1;NULL;00:00.0;00:00.0;3
98;10;Stella Rosenhain;Stella;0;NULL;00:00.0;00:00.0;3
99;17;Piper Koch;Piper;0;NULL;00:00.0;00:00.0;3
100;10;Stella Rosenhain;Stella;0;NULL;00:00.0;00:00.0;3
101;3;Hudson Onslow;Hudson;1;NULL;00:00.0;00:00.0;3
102;20;Jack Potter;Jack;1;NULL;00:00.0;00:00.0;3
103;7;Amy Trefl;Amy;1;NULL;00:00.0;00:00.0;3
104;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
105;3;Hudson Onslow;Hudson;1;NULL;00:00.0;00:00.0;3
106;8;Anthony Grosse;Anthony;1;NULL;00:00.0;00:00.0;3
107;15;Taj Shand;Taj;1;NULL;00:00.0;00:00.0;3
108;7;Amy Trefl;Amy;1;NULL;00:00.0;00:00.0;3
109;17;Piper Koch;Piper;0;NULL;00:00.0;00:00.0;3
110;10;Stella Rosenhain;Stella;0;NULL;00:00.0;00:00.0;3
111;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
112;9;Alica Fatnowna;Alica;0;NULL;00:00.0;00:00.0;3
113;12;Henry Forlonge;Henry;0;NULL;00:00.0;00:00.0;3
114;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
115;15;Taj Shand;Taj;1;NULL;00:00.0;00:00.0;3
116;2;Kayla Woodcock;Kayla;1;NULL;00:00.0;00:00.0;3
117;18;Katie Darwin;Katie;0;NULL;00:00.0;00:00.0;3
118;15;Taj Shand;Taj;1;NULL;00:00.0;00:00.0;3
119;8;Anthony Grosse;Anthony;1;NULL;00:00.0;00:00.0;3
120;10;Stella Rosenhain;Stella;0;NULL;00:00.0;00:00.0;3
121;9;Alica Fatnowna;Alica;0;NULL;00:00.0;00:00.0;3
122;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
123;10;Stella Rosenhain;Stella;0;NULL;00:00.0;00:00.0;3
124;18;Katie Darwin;Katie;0;NULL;00:00.0;13:00.0;3
125;4;Isabella Rupp;Isabella;0;NULL;00:00.0;00:00.0;3
126;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
127;6;Sophia Hinton;Sophia;1;NULL;00:00.0;00:00.0;3
128;9;Alica Fatnowna;Alica;0;NULL;00:00.0;00:00.0;3
129;15;Taj Shand;Taj;1;NULL;00:00.0;00:00.0;3
130;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
131;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
132;12;Henry Forlonge;Henry;0;NULL;00:00.0;13:00.0;3
133;4;Isabella Rupp;Isabella;0;NULL;00:00.0;00:00.0;3
134;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
135;9;Alica Fatnowna;Alica;0;NULL;00:00.0;00:00.0;3
136;20;Jack Potter;Jack;1;NULL;00:00.0;00:00.0;3
137;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
138;20;Jack Potter;Jack;1;NULL;00:00.0;00:00.0;3
139;9;Alica Fatnowna;Alica;0;NULL;00:00.0;00:00.0;3
140;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
141;19;Jai Shand;Jai;0;NULL;00:00.0;00:00.0;3
142;4;Isabella Rupp;Isabella;0;NULL;00:00.0;13:00.0;3
143;2;Kayla Woodcock;Kayla;1;NULL;00:00.0;00:00.0;3
144;20;Jack Potter;Jack;1;NULL;00:00.0;00:00.0;3
145;3;Hudson Onslow;Hudson;1;NULL;00:00.0;00:00.0;3
146;17;Piper Koch;Piper;0;NULL;00:00.0;00:00.0;3
147;17;Piper Koch;Piper;0;NULL;00:00.0;13:00.0;3
148;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
149;20;Jack Potter;Jack;1;NULL;00:00.0;00:00.0;3
150;20;Jack Potter;Jack;1;NULL;00:00.0;00:00.0;3
151;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
152;14;Lily Code;Lily;1;NULL;00:00.0;00:00.0;3
153;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
154;6;Sophia Hinton;Sophia;1;NULL;00:00.0;00:00.0;3
155;7;Amy Trefl;Amy;1;NULL;00:00.0;00:00.0;3
156;3;Hudson Onslow;Hudson;1;NULL;00:00.0;00:00.0;3
157;19;Jai Shand;Jai;0;NULL;00:00.0;13:00.0;3
158;8;Anthony Grosse;Anthony;1;NULL;00:00.0;13:00.0;3
159;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
160;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
161;6;Sophia Hinton;Sophia;1;NULL;00:00.0;13:00.0;3
162;3;Hudson Onslow;Hudson;1;NULL;00:00.0;00:00.0;3
163;3;Hudson Onslow;Hudson;1;NULL;00:00.0;13:00.0;3
164;11;Ethan Onslow;Ethan;0;NULL;00:00.0;00:00.0;3
165;15;Taj Shand;Taj;1;NULL;00:00.0;13:00.0;3
166;11;Ethan Onslow;Ethan;0;NULL;00:00.0;13:00.0;3
167;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;00:00.0;3
168;20;Jack Potter;Jack;1;NULL;00:00.0;13:00.0;3
169;9;Alica Fatnowna;Alica;0;NULL;00:00.0;13:00.0;3
170;7;Amy Trefl;Amy;1;NULL;00:00.0;13:00.0;3
171;2;Kayla Woodcock;Kayla;1;NULL;00:00.0;13:00.0;3
172;13;Hudson Hollinworth;Hudson;1;NULL;00:00.0;13:00.0;3
173;10;Stella Rosenhain;Stella;0;NULL;00:00.0;13:00.0;3
174;14;Lily Code;Lily;1;NULL;00:00.0;13:00.0;3
175;20;Jack Potter;Jack;1;NULL;13:00.0;14:00.0;3
176;19;Jai Shand;Jai;0;NULL;13:00.0;14:00.0;3
177;18;Katie Darwin;Katie;0;NULL;13:00.0;14:00.0;3
178;17;Piper Koch;Piper;0;NULL;13:00.0;14:00.0;3
179;16;Archer Lamble;Archer;1;NULL;13:00.0;14:00.0;3
180;15;Taj Shand;Taj;1;NULL;13:00.0;14:00.0;3
181;14;Lily Code;Lily;1;NULL;13:00.0;14:00.0;3
182;13;Hudson Hollinworth;Hudson;1;NULL;13:00.0;14:00.0;3
183;12;Henry Forlonge;Henry;0;NULL;13:00.0;14:00.0;3
184;11;Ethan Onslow;Ethan;0;NULL;13:00.0;14:00.0;3
185;10;Stella Rosenhain;Stella;0;NULL;13:00.0;14:00.0;3
186;9;Alica Fatnowna;Alica;0;NULL;13:00.0;14:00.0;3
187;8;Anthony Grosse;Anthony;1;NULL;13:00.0;14:00.0;3
188;7;Amy Trefl;Amy;1;NULL;13:00.0;14:00.0;3
189;6;Sophia Hinton;Sophia;1;NULL;13:00.0;14:00.0;3
190;5;Eva Muirden;Eva;0;NULL;13:00.0;14:00.0;3
191;4;Isabella Rupp;Isabella;0;NULL;13:00.0;14:00.0;3
192;3;Hudson Onslow;Hudson;1;NULL;13:00.0;14:00.0;3
193;2;Kayla Woodcock;Kayla;1;NULL;13:00.0;14:00.0;3
194;2;Kayla Woodcock;Kayla;1;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
195;3;Hudson Onslow;Hudson;1;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
196;4;Isabella Rupp;Isabella;0;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
197;5;Eva Muirden;Eva;0;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
198;6;Sophia Hinton;Sophia;1;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
199;7;Amy Trefl;Amy;1;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
200;8;Anthony Grosse;Anthony;1;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
201;9;Alica Fatnowna;Alica;0;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
202;10;Stella Rosenhain;Stella;0;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
203;11;Ethan Onslow;Ethan;0;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
204;12;Henry Forlonge;Henry;0;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
205;13;Hudson Hollinworth;Hudson;1;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
206;14;Lily Code;Lily;1;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
207;15;Taj Shand;Taj;1;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
208;16;Archer Lamble;Archer;1;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
209;17;Piper Koch;Piper;0;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
210;18;Katie Darwin;Katie;0;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
211;19;Jai Shand;Jai;0;NULL;14:00.0;###############################################################################################################################################################################################################################################################;3
